,Model Identifier,Matrix
0,RNN-10-10-0,"[[ 1.03624919e+00  7.05683532e-01  2.77669921e-01  1.01992284e-01
   4.84046254e-01  0.00000000e+00  4.70685624e-01  3.28805444e-01
   9.58246495e-01  5.52669715e-01  3.28805444e-01  1.01992284e-01]
 [ 0.00000000e+00  1.17061280e-01  3.30711435e-02  8.75032414e-04
   1.93515002e-01 -4.54300782e-03  1.93515002e-01  5.49757785e-02
   0.00000000e+00  1.93515002e-01  5.49757785e-02 -4.54300782e-03]]"
1,RNN-10-10-1,"[[ 0.02239607 -0.04495999  0.02239607  0.28439173 -0.05538456  0.23353007
   0.02239607  0.07749382  0.07749382  0.02239607  0.          0.02239607]
 [ 0.60463821  0.8125603   0.61698395  0.3275682   0.13635724  0.35953498
   0.04118964  0.          0.          0.61698395  0.8655642   0.61698395]]"
2,RNN-10-10-2,"[[ 0.94170074  0.62105061  0.34488388  0.          0.01431578  0.85250389
   0.94170074  0.62105061  0.34488388  0.55424207  0.56917482  0.62105061]
 [-0.08310771  0.17362413 -0.0728037  -0.08681769 -0.05353375  0.
  -0.08310771  0.17362413 -0.0728037   0.17362413  0.17362413  0.17362413]]"
3,RNN-10-10-3,"[[0.9938041  0.02197977 0.9938041  0.         0.66553957 0.9938041
  0.9938041  0.09908916 0.33210301 0.9938041  0.9938041  0.56082654]
 [0.67906039 0.13903811 0.02736658 0.9953211  0.31826953 0.02736658
  0.9953211  0.89441347 0.9953211  0.         0.9953211  0.39897264]]"
4,RNN-10-10-4,"[[0.98580739 0.59504935 0.98580739 0.38064732 0.85293295 0.01233634
  0.2086872  0.85293295 0.98580739 0.         0.0927225  0.85293295]
 [0.11767305 0.22783767 0.0527708  0.42289618 0.         0.9774635
  0.63019298 0.9774635  0.02731202 0.9774635  0.81823005 0.        ]]"
5,RNN-10-10-5,"[[2.83100380e-01 7.28600079e-01 7.28600079e-01 1.18192012e-01
  5.47769950e-01 8.43570694e-01 6.31562637e-01 9.35023165e-01
  4.24173018e-01 0.00000000e+00 4.44089210e-16 4.51909457e-01]
 [7.34717250e-02 2.59946961e-03 2.59946961e-03 3.64217203e-02
  7.34717250e-02 2.59946961e-03 7.34717250e-02 0.00000000e+00
  7.34717250e-02 2.59946961e-03 2.59946961e-03 7.34717250e-02]]"
6,RNN-10-10-6,"[[0.52269114 0.6819246  0.04441202 0.         0.6819246  0.6819246
  0.04441202 0.05198116 0.48885217 0.03406839 0.18777258 0.6405075 ]
 [0.61318406 0.26093637 0.98257906 0.10260932 0.         0.3331466
  0.98257906 0.98257906 0.37111477 0.98257906 0.98257906 0.45152121]]"
7,RNN-10-10-7,"[[0.16657329 0.78306747 0.40999409 0.16657329 0.99272384 0.99272384
  0.99272384 0.40999409 0.30867862 0.         0.40999409 0.99272384]
 [0.96478487 0.53058755 0.2274607  0.96478487 0.         0.01372944
  0.         0.58804143 0.47971117 0.96478487 0.47019835 0.90991618]]"
8,RNN-10-10-8,"[[0.99970853 0.99970853 0.62883304 0.99970853 0.54249782 0.08845776
  0.         0.1137284  0.37107298 0.62883304 0.77175486 0.18816857]
 [0.83126905 0.10237055 0.36478554 0.50252992 0.58638284 0.8238803
  0.86736545 0.86736545 0.7497812  0.50252992 0.         0.71784671]]"
9,RNN-10-10-9,"[[ 0.48244695  0.90578469  0.77301884  0.31322305  0.79749548  0.90578469
   0.          0.68097347  0.90578469  0.62700706  0.79749548  0.29640869]
 [ 0.42591884  0.42591884  0.05313217  0.22739231  0.42591884  0.
  -0.01359053  0.26366321 -0.01359053  0.22739231  0.10957595  0.22739231]]"
10,RNN-10-10-10,"[[0.99946555 0.99946555 0.99946555 0.37474515 0.19450474 0.99946555
  0.85839291 0.05670376 0.         0.37474515 0.99946555 0.99946555]
 [0.70982655 0.         0.         0.73478731 0.50742039 0.
  0.26954307 0.70982655 0.73478731 0.73478731 0.14959766 0.19620841]]"
11,RNN-10-10-11,"[[0.         0.         0.96506544 0.16143456 0.96506544 0.
  0.         0.24081659 0.2960482  0.47694614 0.96506544 0.96506544]
 [0.98827641 0.98827641 0.         0.80788053 0.         0.98827641
  0.98827641 0.55233727 0.57881637 0.32475823 0.         0.        ]]"
12,RNN-10-10-12,"[[0.99433855 0.50199225 0.94743899 0.02055502 0.99433855 0.
  0.99433855 0.65581218 0.99433855 0.27457251 0.04231078 0.99433855]
 [0.         0.48636614 0.24781811 0.99122593 0.         0.99122593
  0.03898991 0.77253928 0.         0.99122593 0.99122593 0.1435923 ]]"
13,RNN-10-10-13,"[[3.85858908e-02 2.33292641e-01 8.28041848e-02 8.88178420e-16
  0.00000000e+00 0.00000000e+00 2.33292641e-01 3.85858908e-02
  3.85858908e-02 5.95562958e-02 3.85858908e-02 1.64326671e-01]
 [5.89832127e-01 4.22935036e-01 6.82628723e-01 4.53522624e-02
  0.00000000e+00 0.00000000e+00 4.22935036e-01 5.59664067e-01
  7.81835055e-01 7.81835055e-01 5.59664067e-01 3.81490737e-01]]"
14,RNN-10-10-14,"[[0.04937571 0.99862093 0.99862093 0.83938747 0.04937571 0.04937571
  0.99862093 0.25619188 0.99862093 0.50017028 0.         0.99862093]
 [0.99777828 0.25609889 0.         0.34494851 0.99777828 0.99777828
  0.01131998 0.99777828 0.01131998 0.50087622 0.99777828 0.14831226]]"
15,RNN-10-10-15,"[[ 0.83842039  0.02105441  0.29658074  0.83842039  0.83842039  0.70861589
   0.83842039  0.48651958  0.70861589  0.29658074  0.0417127   0.        ]
 [ 0.44551669  0.00823771  0.54079712  0.44551669 -0.01539098  0.54079712
   0.44551669  0.          0.48351773  0.54079712  0.28753655 -0.01539098]]"
