Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,0,1,0.20982365051469015
RNN-RNN,10,10,0,2,0.751678110383359
RNN-RNN,10,10,0,3,0.5828940838885832
RNN-RNN,10,10,0,4,0.7108258167652868
RNN-RNN,10,10,0,5,0.6128340404893144
RNN-RNN,10,10,0,6,0.5094999140277632
RNN-RNN,10,10,0,7,0.49874978644839674
RNN-RNN,10,10,0,8,0.5800019135612028
RNN-RNN,10,10,0,9,0.7967310093384499
RNN-RNN,10,10,0,10,0.6061265060152855
RNN-RNN,10,10,0,11,0.4258908460337047
RNN-RNN,10,10,0,12,0.6980350779174929
RNN-RNN,10,10,0,13,0.13633428792360403
RNN-RNN,10,10,0,14,0.5517883879340846
RNN-RNN,10,10,0,15,0.5924161320375555
RNN-RNN,10,10,0,16,0.39653833777523984
RNN-RNN,10,10,0,17,0.6016157711751495
RNN-RNN,10,10,0,18,0.6505757854158623
RNN-RNN,10,10,0,19,0.7739909876303797
RNN-RNN,10,10,0,20,0.6085442400066277
RNN-RNN,10,10,0,21,0.5473995365474082
RNN-RNN,10,10,0,22,0.5953422083180321
RNN-RNN,10,10,0,23,0.5864922587047179
RNN-RNN,10,10,0,24,0.7355991519683229
RNN-RNN,10,10,0,25,0.5035398904049174
RNN-RNN,10,10,0,26,0.6399574974708064
RNN-RNN,10,10,0,27,0.48948724021449164
RNN-RNN,10,10,0,28,0.1277910683094514
RNN-RNN,10,10,0,29,0.6819091642645962
RNN-RNN,10,10,0,30,0.36176285810016806
RNN-RNN,10,10,1,0,0.20982365051469015
RNN-RNN,10,10,1,2,0.2894461017835501
RNN-RNN,10,10,1,3,0.47982911826868785
RNN-RNN,10,10,1,4,0.488216774479591
RNN-RNN,10,10,1,5,0.09465701418817059
RNN-RNN,10,10,1,6,0.6659471562528329
RNN-RNN,10,10,1,7,0.6124475688920787
RNN-RNN,10,10,1,8,0.5686376707365783
RNN-RNN,10,10,1,9,0.39711888600003103
RNN-RNN,10,10,1,10,0.48184856336969395
RNN-RNN,10,10,1,11,0.45945543882384726
RNN-RNN,10,10,1,12,0.5458143432633187
RNN-RNN,10,10,1,13,0.6464753140700342
RNN-RNN,10,10,1,14,0.557517408101173
RNN-RNN,10,10,1,15,0.530225833882704
RNN-RNN,10,10,1,16,0.6267583073881833
RNN-RNN,10,10,1,17,0.4808579914087836
RNN-RNN,10,10,1,18,0.23795426585782037
RNN-RNN,10,10,1,19,0.44693091268167684
RNN-RNN,10,10,1,20,0.22686764239640964
RNN-RNN,10,10,1,21,0.601232407934965
RNN-RNN,10,10,1,22,0.41313310461031794
RNN-RNN,10,10,1,23,0.5652889872613698
RNN-RNN,10,10,1,24,0.524210040078612
RNN-RNN,10,10,1,25,0.6774732461685783
RNN-RNN,10,10,1,26,0.722737510866802
RNN-RNN,10,10,1,27,0.5880518424169928
RNN-RNN,10,10,1,28,0.6015182007283004
RNN-RNN,10,10,1,29,0.3395299486936786
RNN-RNN,10,10,1,30,0.7340086879842821
RNN-RNN,10,10,2,0,0.751678110383359
RNN-RNN,10,10,2,1,0.2894461017835501
RNN-RNN,10,10,2,3,0.6715676730601032
RNN-RNN,10,10,2,4,0.5685397255909652
RNN-RNN,10,10,2,5,0.6884939443817107
RNN-RNN,10,10,2,6,0.43249366865086136
RNN-RNN,10,10,2,7,0.6527674034550284
RNN-RNN,10,10,2,8,0.46639805760875935
RNN-RNN,10,10,2,9,0.6804653878635054
RNN-RNN,10,10,2,10,0.7200114591654411
RNN-RNN,10,10,2,11,0.29868243981555653
RNN-RNN,10,10,2,12,0.6602506958033066
RNN-RNN,10,10,2,13,0.10531503608462865
RNN-RNN,10,10,2,14,0.5068294156469093
RNN-RNN,10,10,2,15,0.5915657955172109
RNN-RNN,10,10,2,16,0.3607691062528599
RNN-RNN,10,10,2,17,0.6838552519364012
RNN-RNN,10,10,2,18,0.7318899663937118
RNN-RNN,10,10,2,19,0.5934143960817906
RNN-RNN,10,10,2,20,0.6747815454554258
RNN-RNN,10,10,2,21,0.5586159451191005
RNN-RNN,10,10,2,22,0.4571807289156956
RNN-RNN,10,10,2,23,0.5039698707988813
RNN-RNN,10,10,2,24,0.6499706077724963
RNN-RNN,10,10,2,25,0.5282088865029337
RNN-RNN,10,10,2,26,0.7169617877512974
RNN-RNN,10,10,2,27,0.4870693487098778
RNN-RNN,10,10,2,28,0.05269624586638437
RNN-RNN,10,10,2,29,0.8116780151351364
RNN-RNN,10,10,2,30,0.451568161928296
RNN-RNN,10,10,3,0,0.5828940838885832
RNN-RNN,10,10,3,1,0.47982911826868785
RNN-RNN,10,10,3,2,0.6715676730601032
RNN-RNN,10,10,3,4,0.564855637564666
RNN-RNN,10,10,3,5,0.45744261416427834
RNN-RNN,10,10,3,6,0.6477344983990404
RNN-RNN,10,10,3,7,0.724954776492664
RNN-RNN,10,10,3,8,0.5868494060813835
RNN-RNN,10,10,3,9,0.6628377146007849
RNN-RNN,10,10,3,10,0.7467968648375807
RNN-RNN,10,10,3,11,0.6756045176585375
RNN-RNN,10,10,3,12,0.6214253223909493
RNN-RNN,10,10,3,13,0.3750457258708422
RNN-RNN,10,10,3,14,0.5580107816211674
RNN-RNN,10,10,3,15,0.658124266520467
RNN-RNN,10,10,3,16,0.5617409669196638
RNN-RNN,10,10,3,17,0.6813632042684592
RNN-RNN,10,10,3,18,0.502807949807301
RNN-RNN,10,10,3,19,0.6453198785666029
RNN-RNN,10,10,3,20,0.6054606587511044
RNN-RNN,10,10,3,21,0.69967959232287
RNN-RNN,10,10,3,22,0.6892464037955374
RNN-RNN,10,10,3,23,0.7105114461438827
RNN-RNN,10,10,3,24,0.5429961983177023
RNN-RNN,10,10,3,25,0.670385194355799
RNN-RNN,10,10,3,26,0.682604603430621
RNN-RNN,10,10,3,27,0.6364604664488391
RNN-RNN,10,10,3,28,0.48109938582398626
RNN-RNN,10,10,3,29,0.6924842910170653
RNN-RNN,10,10,3,30,0.454584712136587
RNN-RNN,10,10,4,0,0.7108258167652868
RNN-RNN,10,10,4,1,0.488216774479591
RNN-RNN,10,10,4,2,0.5685397255909652
RNN-RNN,10,10,4,3,0.564855637564666
RNN-RNN,10,10,4,5,0.5266643734149599
RNN-RNN,10,10,4,6,0.7556059034268687
RNN-RNN,10,10,4,7,0.6118743381665241
RNN-RNN,10,10,4,8,0.6688932212991154
RNN-RNN,10,10,4,9,0.652125253428347
RNN-RNN,10,10,4,10,0.5456233072544228
RNN-RNN,10,10,4,11,0.6503708080404675
RNN-RNN,10,10,4,12,0.9174285666713062
RNN-RNN,10,10,4,13,0.31165611270463234
RNN-RNN,10,10,4,14,0.76032968069658
RNN-RNN,10,10,4,15,0.7297856713143519
RNN-RNN,10,10,4,16,0.46145769404401715
RNN-RNN,10,10,4,17,0.6380134862730293
RNN-RNN,10,10,4,18,0.5622603290127293
RNN-RNN,10,10,4,19,0.7764439614485441
RNN-RNN,10,10,4,20,0.5234856377010139
RNN-RNN,10,10,4,21,0.7778201157131152
RNN-RNN,10,10,4,22,0.5518504877681578
RNN-RNN,10,10,4,23,0.5750027881431509
RNN-RNN,10,10,4,24,0.638747593525939
RNN-RNN,10,10,4,25,0.6289759144182145
RNN-RNN,10,10,4,26,0.6524845014139887
RNN-RNN,10,10,4,27,0.47481692617755067
RNN-RNN,10,10,4,28,0.25466682648849875
RNN-RNN,10,10,4,29,0.5630350129005826
RNN-RNN,10,10,4,30,0.4236439453255822
RNN-RNN,10,10,5,0,0.6128340404893144
RNN-RNN,10,10,5,1,0.09465701418817059
RNN-RNN,10,10,5,2,0.6884939443817107
RNN-RNN,10,10,5,3,0.45744261416427834
RNN-RNN,10,10,5,4,0.5266643734149599
RNN-RNN,10,10,5,6,0.3579519685470192
RNN-RNN,10,10,5,7,0.5416185749454488
RNN-RNN,10,10,5,8,0.3033364974464307
RNN-RNN,10,10,5,9,0.7219690312026292
RNN-RNN,10,10,5,10,0.5769453424698078
RNN-RNN,10,10,5,11,0.30337907251096113
RNN-RNN,10,10,5,12,0.46641371733826265
RNN-RNN,10,10,5,13,-0.040905415541010105
RNN-RNN,10,10,5,14,0.4010370231210669
RNN-RNN,10,10,5,15,0.6176146123561591
RNN-RNN,10,10,5,16,0.18943109541978817
RNN-RNN,10,10,5,17,0.6893142362460886
RNN-RNN,10,10,5,18,0.7394793742043262
RNN-RNN,10,10,5,19,0.5943521374575198
RNN-RNN,10,10,5,20,0.6955724910955265
RNN-RNN,10,10,5,21,0.6132134972215044
RNN-RNN,10,10,5,22,0.37558892567168434
RNN-RNN,10,10,5,23,0.5229471490885392
RNN-RNN,10,10,5,24,0.39938440064324787
RNN-RNN,10,10,5,25,0.4056892284712324
RNN-RNN,10,10,5,26,0.4170911016386571
RNN-RNN,10,10,5,27,0.33996976900536374
RNN-RNN,10,10,5,28,-0.0245669120575875
RNN-RNN,10,10,5,29,0.7780695567816404
RNN-RNN,10,10,5,30,0.40224982075109406
RNN-RNN,10,10,6,0,0.5094999140277632
RNN-RNN,10,10,6,1,0.6659471562528329
RNN-RNN,10,10,6,2,0.43249366865086136
RNN-RNN,10,10,6,3,0.6477344983990404
RNN-RNN,10,10,6,4,0.7556059034268687
RNN-RNN,10,10,6,5,0.3579519685470192
RNN-RNN,10,10,6,7,0.7273746507050105
RNN-RNN,10,10,6,8,0.6778827640462952
RNN-RNN,10,10,6,9,0.5793216138211728
RNN-RNN,10,10,6,10,0.5305444126334702
RNN-RNN,10,10,6,11,0.5924567900076378
RNN-RNN,10,10,6,12,0.7124372448585745
RNN-RNN,10,10,6,13,0.6615586685892622
RNN-RNN,10,10,6,14,0.6574668799163402
RNN-RNN,10,10,6,15,0.6754396595940856
RNN-RNN,10,10,6,16,0.5782537513547243
