Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
RNN,10,10,0,4.9339,0.2056,0.2132,3.4594,0.6643,-0.0,0.3012,0.1026,7,4,11,4,5,3,0.5,1.3333,0.9098
RNN,10,10,1,6.6948,0.2739,0.2899,3.3219,0.938,-0.0261,0.1881,0.3534,2,8,10,2,4,6,0.2,0.3333,1.2476
RNN,10,10,2,7.3558,0.2791,0.3207,3.4594,0.9821,-0.0771,0.4824,0.1004,6,5,11,1,2,9,0.0909,0.1111,1.1921
RNN,10,10,3,13.9976,0.5832,0.4095,3.585,0.9971,0.0,0.6169,0.5496,6,6,12,3,3,6,0.3333,0.5,4.0087
RNN,10,10,4,13.0452,0.5435,0.4142,3.7004,0.9988,0.0,0.5392,0.4827,7,6,13,1,0,11,0.0909,0.0909,2.3882
RNN,10,10,5,5.4683,0.1957,0.2987,3.1699,0.9964,-0.0737,0.4859,0.0099,4,5,9,0,3,9,0.0,0.0,0.3745
RNN,10,10,6,11.4487,0.477,0.3543,3.7004,0.9859,0.0,0.3465,0.5475,6,7,13,1,0,11,0.0909,0.0909,1.9795
RNN,10,10,7,12.2426,0.5101,0.3694,3.1699,0.9945,0.0,0.6189,0.5761,5,4,9,1,4,7,0.0909,0.1429,3.3645
RNN,10,10,8,13.6082,0.567,0.3684,3.7004,0.9964,0.0,0.5953,0.49,5,8,13,3,2,7,0.3333,0.4286,4.0782
RNN,10,10,9,11.2553,0.469,0.3538,3.585,0.992,0.0,0.6269,0.2682,8,4,12,3,3,6,0.3333,0.5,2.5711
RNN,10,10,10,10.8969,0.4531,0.3312,3.585,0.9362,-0.0056,0.4759,0.3869,8,4,12,0,0,12,0.0,0.0,1.9367
RNN,10,10,11,11.0657,0.4611,0.4162,3.3219,0.9927,0.0,0.5082,0.5423,5,5,10,0,2,10,0.0,0.0,1.0427
RNN,10,10,12,13.0915,0.5455,0.4195,3.585,0.9943,0.0,0.553,0.5393,7,5,12,0,0,12,0.0,0.0,1.8111
RNN,10,10,13,5.8429,0.1902,0.3158,2.8074,0.8741,-0.0833,0.0332,0.5029,3,4,7,0,5,7,0.0,0.0,0.4118
RNN,10,10,14,12.6473,0.527,0.4141,3.4594,0.9978,0.0,0.5134,0.6059,6,5,11,0,1,11,0.0,0.0,1.6634
RNN,10,10,15,9.272,0.3863,0.2624,3.8074,0.8445,0.0,0.4096,0.2845,7,7,14,5,3,4,0.7143,1.25,3.1144
RNN,10,10,16,11.2936,0.4706,0.3953,3.4594,0.9857,0.0,0.517,0.4861,4,7,11,0,1,11,0.0,0.0,1.382
RNN,10,10,17,13.2709,0.553,0.3326,4.0875,0.9765,0.0,0.4545,0.3734,9,8,17,6,1,5,1.0,1.2,4.1933
RNN,10,10,18,6.3968,0.26,0.2833,3.3219,0.9185,-0.0195,0.4693,0.076,6,4,10,4,6,2,0.5,2.0,0.6877
RNN,10,10,19,12.0531,0.5022,0.3992,3.585,0.9988,0.0,0.4687,0.5319,8,4,12,2,2,8,0.2,0.25,2.4031
RNN,10,10,20,7.1993,0.2814,0.3284,3.4594,0.8946,-0.0422,0.439,0.0927,8,3,11,3,4,5,0.3333,0.6,0.6458
RNN,10,10,21,13.4485,0.5604,0.3168,3.8074,0.9765,0.0,0.5577,0.4661,7,7,14,2,0,10,0.2,0.2,3.5955
RNN,10,10,22,11.4257,0.4761,0.3905,3.585,0.9954,0.0,0.4802,0.472,6,6,12,0,0,12,0.0,0.0,1.2157
