,Kind,Min_Length,Max_Length,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Shannon Entropy,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes,Sum of min
0,RNN,10,10,9.657857436043194,0.40241072650179976,0.08332755472002747,0.5199758304048009,0.23022699926902102,4.552874156011013,0.42021210229929673,9,0.09090909090909091,0.14285714285714285,1.1959411444766692
1,RNNA,10,10,5.148839249625451,0.2145349687343938,0.028983429108541067,0.2898532180209279,0.17274186087577567,4.57210834263268,0.22299629069595062,8,0.09090909090909091,0.16666666666666666,0.6883990927349046
2,LSTM,10,10,11.231091183868307,0.4679621326611794,0.049010086692181855,0.5541430597198979,0.3982800675592519,4.577135753784043,0.4794947845864168,9,0.3333333333333333,1.0,2.810298455113214
3,LSTMA,10,10,4.260108641811252,0.1775045267421355,0.03210881412069408,0.2423947314560137,0.13530853082314517,4.56173499856023,0.18491995779839512,9,0.0,0.0,0.9982177115221056
4,GRU,10,10,12.630328636712626,0.5262636931963595,0.06767347002730723,0.6627965648116061,0.35997678949233464,4.572757832734621,0.4961801819333135,18,1.0,1.0,3.128838110883357
5,GRUA,10,10,4.226458420871895,0.17610243420299562,0.03465769601965407,0.2649170204744115,0.11754544975300155,4.556985754729579,0.17133647100057386,14,0.7142857142857143,1.25,0.06881687648785739
6,RNN,10,15,10.094740253202344,0.42061417721676436,0.07437223169106338,0.5486118171252446,0.24531830563998314,4.5615182079261745,0.4157674080679591,13,0.5,0.8,0.3974482934165797
7,RNNA,10,15,6.046351484398259,0.25193131184992745,0.04338920563269577,0.33797636697361505,0.14988823516049535,4.562877554750411,0.25481891773146326,11,0.2,0.2857142857142857,1.9483035175905874
8,LSTM,10,15,11.075922333189107,0.46149676388287947,0.07772494468578096,0.6000598952777394,0.29750962482815696,4.564016914927011,0.4561603211163511,13,0.09090909090909091,0.09090909090909091,2.4561929905269295
9,LSTMA,10,15,5.052224149355885,0.2105093395564952,0.026031510919276562,0.2490533742085854,0.16722119742905453,4.573826263297445,0.2085094714597282,13,0.3333333333333333,0.42857142857142855,0.19533493423454695
10,GRU,10,15,12.82484789892688,0.5343686624552867,0.06592963780534958,0.6616332319683557,0.3456714961956438,4.57359856056118,0.52568870442034,14,0.3333333333333333,0.375,1.6246901295635388
11,GRUA,10,15,3.667337268102064,0.15280571950425267,0.030038708715284124,0.21528681052891357,0.07034281685359603,4.5554962248087065,0.15089652222816174,13,0.2,0.2222222222222222,0.12535328899897902
12,RNN,20,20,10.762278797518105,0.44842828322992107,0.09721922669175193,0.6003859696612065,0.23732118823240178,4.548273390858448,0.42045706941561317,16,0.5,0.5,1.2093676936405244
13,RNNA,20,20,2.4100549886734637,0.10041895786139432,0.04860024756040551,0.19747717704804688,0.031211606829633916,4.416937131505369,0.107904017270113,10,0.0,0.0,0.08247696085897394
14,LSTM,20,20,10.219489465340473,0.42581206105585306,0.07256975516629152,0.5444387029622663,0.3066442152653899,4.563525885733242,0.4207271632061489,13,0.2,0.2222222222222222,1.1254201123947793
15,LSTMA,20,20,1.8020100932175762,0.07508375388406567,0.026961689549534904,0.13967868694597535,0.032274430508619355,4.494942894045742,0.09444477408572931,4,0.0,0.0,0.997336651034376
16,GRU,20,20,12.714265409131837,0.5297610587138265,0.08584161702934541,0.7086110973706609,0.36018760289938945,4.565647332103133,0.4976444837112609,17,1.0,1.2,3.2377689270500025
17,GRUA,20,20,2.8740382951852625,0.11975159563271927,0.035299130421047646,0.2032678730809933,0.0656753811823507,4.524811899409587,0.12749659239067537,9,0.0,0.0,0.17547035362246488
18,RNN,20,25,10.734112538704572,0.4472546891126905,0.07146208638060197,0.6069962773249492,0.34253214844837093,4.566688894582258,0.4472546891126905,12,0.3333333333333333,0.5,2.1644374340270955
19,RNNA,20,25,2.4687259323997357,0.10286358051665566,0.03446165430440128,0.15934849349326963,0.029176356436432103,4.496944483506594,0.10532179374791059,11,0.0,0.0,0.42071165917693953
20,LSTM,20,25,10.77137914508441,0.4488074643785171,0.07478607354184062,0.6062091507418599,0.2775371205575225,4.564588994438854,0.44880746437851704,12,0.2,0.25,3.5785553976204745
21,LSTMA,20,25,1.8122705042699199,0.07551127101124666,0.0235200813447488,0.14421937564307333,0.033837572928824416,4.519542473605213,0.08954908237055303,5,0.0,0.0,0.2548704500138492
22,GRU,20,25,12.432422996116822,0.5180176248382009,0.06016765339955092,0.6910370576518661,0.4237435715404796,4.575505270805596,0.5700478685065316,3,0.0,0.0,3.692749970685715
23,GRUA,20,25,2.0513363865455956,0.08547234943939981,0.031119975314349395,0.14925120057783625,0.034268145024129816,4.490147035624911,0.10083613714977503,6,0.0,0.0,0.3777607730077981
24,RNN,30,30,11.256228046109097,0.4690095019212124,0.09278890904278196,0.6094601743682413,0.2665924161925856,4.555395866774845,0.47538967367342977,11,0.09090909090909091,0.1111111111111111,2.565150833232007
25,RNNA,30,30,1.2768472958285417,0.05320197065952257,0.012621443354419934,0.07472068583851327,0.024441247520578635,4.541467813150341,0.0548371692367133,10,0.3333333333333333,0.75,-0.32408209252055276
26,LSTM,30,30,10.600069971391425,0.4416695821413094,0.06417272931321788,0.5740289797775838,0.30449270330626144,4.5696988445632645,0.44972003667986415,10,0.09090909090909091,0.125,0.7042988405959685
27,LSTMA,30,30,0.953792345494129,0.03974134772892204,0.01270226818461059,0.06443505683646408,0.012469674951379187,4.505578042661555,0.04237229592062067,9,0.0,0.0,0.258239446285498
28,GRU,30,30,12.867152602397852,0.5361313584332438,0.07974094867148018,0.7103360297480603,0.37620314167909036,4.568838165305445,0.5193646928403894,15,0.5,0.5714285714285714,4.2321933936528495
29,GRUA,30,30,1.2782458357019841,0.05326024315424934,0.020956847378293567,0.09375476926667639,0.0276996311621198,4.476869483987742,0.06170078629784465,7,0.0,0.0,1.3322676295501878e-15
30,RNN,30,35,11.188078340541953,0.4661699308559147,0.0650661245246673,0.5915920378229084,0.3249766929768269,4.570628939759665,0.45684526640397577,14,0.2,0.2,0.9571650054617868
31,RNNA,30,35,1.4309018356059795,0.05962090981691581,0.01742827664826161,0.09867323707284392,0.026162425742548952,4.523750290391053,0.06757949186278762,6,0.0,0.0,0.04470377645888979
32,LSTM,30,35,10.595870165724499,0.4414945902385208,0.06269841164211803,0.543981158226986,0.28913335806876583,4.570131268627279,0.4555943252562838,9,0.09090909090909091,0.14285714285714285,0.6501265968182972
33,LSTMA,30,35,0.6454178023631632,0.026892408431798465,0.008995252347315925,0.0476857761452192,0.010921284148301213,4.501296397747641,0.026892408431798465,12,0.3333333333333333,0.5,0.10547447758786532
34,GRU,30,35,12.567063867328184,0.5236276611386743,0.052371584454113426,0.5987353269236405,0.42177648433292464,4.577644072754937,0.527427979193316,11,0.09090909090909091,0.1111111111111111,3.3234353587783505
35,GRUA,30,35,1.5122223091062,0.063009262879425,0.015297890629926359,0.09055298024074006,0.024838051928673062,4.539977203433776,0.06513583047003735,10,0.09090909090909091,0.125,0.35502759037039766
36,RNN,40,40,11.263721633989924,0.46932173474958017,0.08475085140816184,0.6423956449628747,0.2720608226716609,4.560617962834227,0.43225748952974297,18,1.0,1.0,1.4654063723449617
37,RNNA,40,40,1.4734603765260474,0.06139418235525198,0.028165708790480862,0.12962090194599338,0.018755970500196163,4.429351629119639,0.06337330335051128,11,0.09090909090909091,0.1111111111111111,-0.22447803290835378
38,LSTM,40,40,10.330040308157141,0.43041834617321423,0.06443499066719462,0.5608926115938345,0.28091299934487446,4.568426532340887,0.4304183461732142,12,0.2,0.25,2.386535856523997
39,LSTMA,40,40,0.5722326077218631,0.023843025321744298,0.008094057255858059,0.042499542671080484,0.009606680208335912,4.49848115078823,0.023303464546535136,13,0.2,0.2222222222222222,-0.18983793337571164
