,acc
0,"[0.08943089430894309, 0.18292682926829268, 0.313588850174216, 0.07259001161440186, 0.11672473867595819, 0.2305458768873403]"
1,"[0.08710801393728224, 0.1951219512195122, 0.313588850174216, 0.07375145180023229, 0.1132404181184669, 0.22764227642276422]"
2,"[0.08420441347270616, 0.2073170731707317, 0.3130081300813008, 0.07607433217189315, 0.11207897793263646, 0.22473867595818817]"
3,"[0.08304297328687572, 0.21138211382113822, 0.30952380952380953, 0.078397212543554, 0.11091753774680604, 0.22067363530778164]"
4,"[0.08188153310104529, 0.22357723577235772, 0.30662020905923343, 0.08246225319396051, 0.11091753774680604, 0.22125435540069685]"
5,"[0.07897793263646923, 0.22764227642276422, 0.30023228803716606, 0.08768873403019745, 0.11440185830429733, 0.21312427409988385]"
6,"[0.09291521486643438, 0.22357723577235772, 0.28281068524970965, 0.09407665505226481, 0.11962833914053426, 0.20963995354239257]"
7,"[0.10859465737514518, 0.21138211382113822, 0.2665505226480836, 0.10743321718931476, 0.12311265969802555, 0.1991869918699187]"
8,"[0.11788617886178862, 0.21951219512195122, 0.2456445993031359, 0.1173054587688734, 0.1254355400696864, 0.194541231126597]"
9,"[0.12311265969802555, 0.22357723577235772, 0.23170731707317074, 0.13530778164924506, 0.13008130081300814, 0.18757259001161442]"
10,"[0.13124274099883856, 0.23170731707317074, 0.2229965156794425, 0.13995354239256677, 0.13066202090592335, 0.1800232288037166]"
11,"[0.13530778164924506, 0.25609756097560976, 0.2224157955865273, 0.1445993031358885, 0.13356562137049943, 0.16898954703832753]"
12,"[0.1445993031358885, 0.24796747967479674, 0.21022067363530778, 0.15795586527293845, 0.13240418118466898, 0.1678281068524971]"
13,"[0.148664343786295, 0.24796747967479674, 0.1991869918699187, 0.16666666666666666, 0.13588850174216027, 0.15853658536585366]"
14,"[0.15331010452961671, 0.2682926829268293, 0.19802555168408828, 0.1794425087108014, 0.13821138211382114, 0.16666666666666666]"
15,"[0.15389082462253195, 0.2682926829268293, 0.19337979094076654, 0.19047619047619047, 0.14343786295005806, 0.16608594657375145]"
16,"[0.15040650406504066, 0.2845528455284553, 0.1916376306620209, 0.19628339140534262, 0.1440185830429733, 0.16318234610917537]"
17,"[0.1527293844367015, 0.2804878048780488, 0.1910569105691057, 0.20034843205574912, 0.14692218350754935, 0.15795586527293845]"
18,"[0.15040650406504066, 0.2886178861788618, 0.19802555168408828, 0.20441347270615565, 0.15098722415795587, 0.156794425087108]"
19,"[0.14692218350754935, 0.32113821138211385, 0.2038327526132404, 0.20847851335656215, 0.156794425087108, 0.1562137049941928]"
20,"[0.14576074332171893, 0.32113821138211385, 0.2067363530778165, 0.21544715447154472, 0.16434378629500582, 0.15331010452961671]"
21,"[0.1440185830429733, 0.34146341463414637, 0.21080139372822299, 0.21602787456445993, 0.16376306620209058, 0.14924506387921022]"
22,"[0.14285714285714285, 0.3902439024390244, 0.21080139372822299, 0.218931475029036, 0.16260162601626016, 0.14285714285714285]"
23,"[0.1445993031358885, 0.4146341463414634, 0.2229965156794425, 0.2183507549361208, 0.16666666666666666, 0.14111498257839722]"
24,"[0.1445993031358885, 0.45121951219512196, 0.23519163763066203, 0.21951219512195122, 0.17015098722415795, 0.13995354239256677]"
25,"[0.14285714285714285, 0.4796747967479675, 0.2456445993031359, 0.21951219512195122, 0.17479674796747968, 0.14227642276422764]"
26,"[0.13530778164924506, 0.5121951219512195, 0.2613240418118467, 0.21660859465737514, 0.1835075493612079, 0.13646922183507548]"
