,acc
0,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
1,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
2,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
3,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
4,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
5,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
6,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
7,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
8,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
9,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
10,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
11,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
12,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
13,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
14,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
15,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
16,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
17,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21428571428571427, 0.2857142857142857, 0.11904761904761904]"
18,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21370499419279906, 0.2845528455284553, 0.11904761904761904]"
19,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21370499419279906, 0.28281068524970965, 0.11904761904761904]"
20,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.21370499419279906, 0.28222996515679444, 0.11904761904761904]"
21,"[0.0, 0.16666666666666666, 0.16898954703832753, 0.18989547038327526, 0.27990708478513354, 0.140534262485482]"
22,"[0.0, 0.16666666666666666, 0.1916376306620209, 0.18989547038327526, 0.2619047619047619, 0.14285714285714285]"
23,"[0.0, 0.16666666666666666, 0.1916376306620209, 0.18989547038327526, 0.24099883855981416, 0.16550522648083624]"
24,"[0.0, 0.16666666666666666, 0.1916376306620209, 0.18989547038327526, 0.23925667828106853, 0.18699186991869918]"
25,"[0.0, 0.16666666666666666, 0.1951219512195122, 0.20963995354239257, 0.259581881533101, 0.18641114982578397]"
26,"[0.0, 0.16666666666666666, 0.21777003484320556, 0.21022067363530778, 0.2578397212543554, 0.18583042973286876]"
27,"[0.0, 0.16666666666666666, 0.23809523809523808, 0.18989547038327526, 0.23983739837398374, 0.18524970963995355]"
28,"[0.0, 0.16666666666666666, 0.23925667828106853, 0.19047619047619047, 0.2346109175377468, 0.18176538908246226]"
29,"[0.0, 0.16666666666666666, 0.2851335656213705, 0.19047619047619047, 0.21544715447154472, 0.1445993031358885]"
30,"[0.0, 0.3252032520325203, 0.2862950058072009, 0.16898954703832753, 0.19396051103368175, 0.1440185830429733]"
31,"[0.0, 0.32926829268292684, 0.2874564459930314, 0.16318234610917537, 0.19279907084785133, 0.14343786295005806]"
32,"[0.0, 0.32926829268292684, 0.3083623693379791, 0.14576074332171893, 0.21254355400696864, 0.14285714285714285]"
33,"[0.0, 0.3333333333333333, 0.335075493612079, 0.12253193960511034, 0.1916376306620209, 0.14227642276422764]"
34,"[0.0, 0.3333333333333333, 0.3153310104529617, 0.1440185830429733, 0.1713124274099884, 0.12253193960511034]"
35,"[0.0, 0.3333333333333333, 0.313588850174216, 0.14285714285714285, 0.16898954703832753, 0.12311265969802555]"
36,"[0.0, 0.3333333333333333, 0.3356562137049942, 0.14227642276422764, 0.1678281068524971, 0.10627177700348432]"
37,"[0.0, 0.3333333333333333, 0.3205574912891986, 0.16260162601626016, 0.13937282229965156, 0.11556329849012775]"
38,"[0.0, 0.33739837398373984, 0.3159117305458769, 0.16202090592334495, 0.12195121951219512, 0.1527293844367015]"
39,"[0.0, 0.18699186991869918, 0.3321718931475029, 0.16260162601626016, 0.14227642276422764, 0.18931475029036005]"
40,"[0.0, 0.18699186991869918, 0.29152148664343785, 0.16260162601626016, 0.13646922183507548, 0.21428571428571427]"
41,"[0.0, 0.18292682926829268, 0.2688734030197445, 0.11614401858304298, 0.11440185830429733, 0.17828106852497097]"
42,"[0.0, 0.18292682926829268, 0.26713124274099886, 0.11498257839721254, 0.1173054587688734, 0.1765389082462253]"
43,"[0.07665505226480836, 0.3089430894308943, 0.34901277584204415, 0.09930313588850175, 0.11788617886178862, 0.1765389082462253]"
