,acc
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[0.08826945412311266, 0.15447154471544716, 0.2868757259001161, 0.06620209059233449, 0.11033681765389082, 0.22067363530778164]"
4,"[0.09059233449477352, 0.15853658536585366, 0.29442508710801396, 0.06794425087108014, 0.1132404181184669, 0.2264808362369338]"
5,"[0.09059233449477352, 0.15853658536585366, 0.29442508710801396, 0.06794425087108014, 0.1132404181184669, 0.2264808362369338]"
6,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06794425087108014, 0.11614401858304298, 0.23228803716608595]"
7,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06968641114982578, 0.11614401858304298, 0.23228803716608595]"
8,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06968641114982578, 0.11614401858304298, 0.23228803716608595]"
9,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06968641114982578, 0.11614401858304298, 0.23228803716608595]"
10,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06968641114982578, 0.11614401858304298, 0.23228803716608595]"
11,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06968641114982578, 0.11614401858304298, 0.23228803716608595]"
12,"[0.09291521486643438, 0.16260162601626016, 0.30197444831591175, 0.06968641114982578, 0.11614401858304298, 0.23228803716608595]"
13,"[0.09291521486643438, 0.16260162601626016, 0.30952380952380953, 0.06968641114982578, 0.11614401858304298, 0.23635307781649245]"
14,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
15,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
16,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
17,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
18,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
19,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
20,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
21,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
22,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
23,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
24,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
25,"[0.09523809523809523, 0.16666666666666666, 0.30952380952380953, 0.07142857142857142, 0.11904761904761904, 0.23809523809523808]"
26,"[0.0975609756097561, 0.16666666666666666, 0.30952380952380953, 0.07259001161440186, 0.11904761904761904, 0.23809523809523808]"
27,"[0.0975609756097561, 0.16666666666666666, 0.30952380952380953, 0.07491289198606271, 0.1207897793263647, 0.23751451800232287]"
28,"[0.0975609756097561, 0.16666666666666666, 0.3048780487804878, 0.07491289198606271, 0.1207897793263647, 0.23519163763066203]"
29,"[0.0975609756097561, 0.16666666666666666, 0.3048780487804878, 0.07491289198606271, 0.1207897793263647, 0.23519163763066203]"
30,"[0.0975609756097561, 0.16666666666666666, 0.3048780487804878, 0.07549361207897794, 0.1207897793263647, 0.23519163763066203]"
31,"[0.09988385598141696, 0.16666666666666666, 0.3048780487804878, 0.078397212543554, 0.12253193960511034, 0.23286875725900116]"
32,"[0.09988385598141696, 0.16666666666666666, 0.30023228803716606, 0.078397212543554, 0.12253193960511034, 0.23228803716608595]"
33,"[0.09988385598141696, 0.16666666666666666, 0.30023228803716606, 0.078397212543554, 0.12253193960511034, 0.23228803716608595]"
34,"[0.09988385598141696, 0.16666666666666666, 0.30023228803716606, 0.078397212543554, 0.12253193960511034, 0.23228803716608595]"
35,"[0.09988385598141696, 0.16666666666666666, 0.30023228803716606, 0.078397212543554, 0.1132404181184669, 0.23228803716608595]"
36,"[0.13937282229965156, 0.16260162601626016, 0.2967479674796748, 0.2067363530778165, 0.18524970963995355, 0.23170731707317074]"
37,"[0.14750290360046459, 0.16666666666666666, 0.13008130081300814, 0.21196283391405343, 0.18699186991869918, 0.16957026713124274]"
38,"[0.14750290360046459, 0.16666666666666666, 0.12137049941927991, 0.21196283391405343, 0.18699186991869918, 0.16666666666666666]"
39,"[0.148664343786295, 0.16666666666666666, 0.12137049941927991, 0.21196283391405343, 0.18699186991869918, 0.16666666666666666]"
