,acc
0,"[0.13937282229965156, 0.016260162601626018, 0.24041811846689895, 0.0975609756097561, 0.14343786295005806, 0.07955865272938444]"
1,"[0.11788617886178862, 0.16666666666666666, 0.28339140534262486, 0.140534262485482, 0.16434378629500582, 0.10104529616724739]"
2,"[0.11672473867595819, 0.16666666666666666, 0.2619047619047619, 0.140534262485482, 0.1678281068524971, 0.10336817653890824]"
3,"[0.1132404181184669, 0.16666666666666666, 0.2613240418118467, 0.140534262485482, 0.16492450638792103, 0.1678281068524971]"
4,"[0.09523809523809523, 0.16666666666666666, 0.2613240418118467, 0.140534262485482, 0.16492450638792103, 0.1678281068524971]"
5,"[0.09523809523809523, 0.16666666666666666, 0.28222996515679444, 0.13995354239256677, 0.16434378629500582, 0.1678281068524971]"
6,"[0.09523809523809523, 0.16666666666666666, 0.2613240418118467, 0.15911730545876887, 0.16376306620209058, 0.18699186991869918]"
7,"[0.09523809523809523, 0.16666666666666666, 0.23983739837398374, 0.17770034843205576, 0.14111498257839722, 0.1678281068524971]"
8,"[0.09523809523809523, 0.16666666666666666, 0.2415795586527294, 0.17711962833914052, 0.11904761904761904, 0.17015098722415795]"
9,"[0.09523809523809523, 0.16666666666666666, 0.2421602787456446, 0.11498257839721254, 0.13937282229965156, 0.16957026713124274]"
10,"[0.09523809523809523, 0.16666666666666666, 0.24274099883855982, 0.11556329849012775, 0.13995354239256677, 0.14924506387921022]"
11,"[0.09523809523809523, 0.16666666666666666, 0.2229965156794425, 0.09581881533101046, 0.14111498257839722, 0.14750290360046459]"
12,"[0.09523809523809523, 0.16666666666666666, 0.2421602787456446, 0.09639953542392567, 0.14343786295005806, 0.16840882694541232]"
13,"[0.09523809523809523, 0.16666666666666666, 0.26422764227642276, 0.09581881533101046, 0.14227642276422764, 0.16898954703832753]"
14,"[0.09523809523809523, 0.16666666666666666, 0.26422764227642276, 0.09581881533101046, 0.14227642276422764, 0.1916376306620209]"
15,"[0.11614401858304298, 0.16666666666666666, 0.2862950058072009, 0.09581881533101046, 0.14227642276422764, 0.19337979094076654]"
16,"[0.11614401858304298, 0.17073170731707318, 0.30720092915214864, 0.11788617886178862, 0.14285714285714285, 0.21544715447154472]"
17,"[0.13472706155632985, 0.3170731707317073, 0.3083623693379791, 0.11672473867595819, 0.14285714285714285, 0.21544715447154472]"
18,"[0.15853658536585366, 0.32926829268292684, 0.29036004645760743, 0.11788617886178862, 0.16376306620209058, 0.21544715447154472]"
19,"[0.15969802555168408, 0.3333333333333333, 0.2880371660859466, 0.11904761904761904, 0.16376306620209058, 0.21602787456445993]"
20,"[0.2229965156794425, 0.3333333333333333, 0.2880371660859466, 0.11904761904761904, 0.16434378629500582, 0.23693379790940766]"
21,"[0.22415795586527293, 0.3333333333333333, 0.26713124274099886, 0.11904761904761904, 0.18583042973286876, 0.2578397212543554]"
22,"[0.22415795586527293, 0.3333333333333333, 0.2659698025551684, 0.14169570267131243, 0.18641114982578397, 0.2590011614401858]"
23,"[0.227061556329849, 0.47560975609756095, 0.2659698025551684, 0.14169570267131243, 0.18699186991869918, 0.2613240418118467]"
24,"[0.227061556329849, 0.4796747967479675, 0.2665505226480836, 0.14169570267131243, 0.20905923344947736, 0.2619047619047619]"
25,"[0.22938443670150988, 0.483739837398374, 0.2677119628339141, 0.14169570267131243, 0.20963995354239257, 0.26248548199767713]"
26,"[0.22938443670150988, 0.4878048780487805, 0.2665505226480836, 0.14227642276422764, 0.21022067363530778, 0.2421602787456446]"
27,"[0.2508710801393728, 0.491869918699187, 0.2886178861788618, 0.16318234610917537, 0.19047619047619047, 0.24041811846689895]"
28,"[0.25203252032520324, 0.491869918699187, 0.2886178861788618, 0.16434378629500582, 0.18931475029036005, 0.218931475029036]"
29,"[0.27293844367015097, 0.491869918699187, 0.2862950058072009, 0.14343786295005806, 0.20963995354239257, 0.23751451800232287]"
30,"[0.2735191637630662, 0.4959349593495935, 0.2857142857142857, 0.1440185830429733, 0.18989547038327526, 0.21602787456445993]"
31,"[0.27409988385598144, 0.4959349593495935, 0.2862950058072009, 0.16318234610917537, 0.18931475029036005, 0.21718931475029035]"
32,"[0.27409988385598144, 0.4959349593495935, 0.2862950058072009, 0.16492450638792103, 0.18873403019744484, 0.2590011614401858]"
33,"[0.2537746806039489, 0.4959349593495935, 0.2653890824622532, 0.16550522648083624, 0.18931475029036005, 0.259581881533101]"
34,"[0.25435540069686413, 0.4959349593495935, 0.24390243902439024, 0.16492450638792103, 0.18931475029036005, 0.27990708478513354]"
35,"[0.25435540069686413, 0.4959349593495935, 0.2421602787456446, 0.16492450638792103, 0.18931475029036005, 0.281068524970964]"
36,"[0.25435540069686413, 0.4959349593495935, 0.24390243902439024, 0.16550522648083624, 0.18931475029036005, 0.2804878048780488]"
37,"[0.25319396051103366, 0.4959349593495935, 0.24390243902439024, 0.16550522648083624, 0.18931475029036005, 0.2421602787456446]"
38,"[0.25319396051103366, 0.4959349593495935, 0.26422764227642276, 0.16550522648083624, 0.18931475029036005, 0.23983739837398374]"
39,"[0.23344947735191637, 0.4959349593495935, 0.24390243902439024, 0.16550522648083624, 0.22938443670150988, 0.23983739837398374]"
40,"[0.23228803716608595, 0.4959349593495935, 0.24332171893147503, 0.16550522648083624, 0.2311265969802555, 0.23983739837398374]"
41,"[0.21196283391405343, 0.4959349593495935, 0.24390243902439024, 0.16666666666666666, 0.23228803716608595, 0.23925667828106853]"
42,"[0.21196283391405343, 0.5, 0.2456445993031359, 0.16666666666666666, 0.23228803716608595, 0.23925667828106853]"
43,"[0.21138211382113822, 0.5040650406504065, 0.24796747967479674, 0.16666666666666666, 0.23228803716608595, 0.23809523809523808]"
