,acc
0,"[0.036585365853658534, 0.0586527293844367, 0.06097560975609756, 0.07375145180023229, 0.07142857142857142, 0.04878048780487805]"
1,"[0.052845528455284556, 0.09465737514518002, 0.11033681765389082, 0.12311265969802555, 0.13008130081300814, 0.10104529616724739]"
2,"[0.08943089430894309, 0.12369337979094076, 0.14518002322880372, 0.16144018583042974, 0.16434378629500582, 0.14111498257839722]"
3,"[0.1016260162601626, 0.14285714285714285, 0.16492450638792103, 0.1765389082462253, 0.18757259001161442, 0.1713124274099884]"
4,"[0.13414634146341464, 0.15156794425087108, 0.17711962833914052, 0.1794425087108014, 0.18873403019744484, 0.18118466898954705]"
5,"[0.15040650406504066, 0.15505226480836237, 0.18292682926829268, 0.17711962833914052, 0.18757259001161442, 0.1765389082462253]"
6,"[0.16260162601626016, 0.156794425087108, 0.1835075493612079, 0.17305458768873402, 0.18466898954703834, 0.1753774680603949]"
7,"[0.16260162601626016, 0.15331010452961671, 0.18931475029036005, 0.17305458768873402, 0.18176538908246226, 0.17711962833914052]"
8,"[0.17479674796747968, 0.14518002322880372, 0.1997677119628339, 0.18234610917537747, 0.17073170731707318, 0.18583042973286876]"
9,"[0.17886178861788618, 0.14169570267131243, 0.20034843205574912, 0.17711962833914052, 0.16376306620209058, 0.18583042973286876]"
10,"[0.18699186991869918, 0.14227642276422764, 0.2038327526132404, 0.18176538908246226, 0.15331010452961671, 0.19047619047619047]"
11,"[0.1951219512195122, 0.14634146341463414, 0.20963995354239257, 0.18118466898954705, 0.15156794425087108, 0.18931475029036005]"
12,"[0.2032520325203252, 0.14982578397212543, 0.21312427409988385, 0.18292682926829268, 0.15098722415795587, 0.18931475029036005]"
13,"[0.22357723577235772, 0.15505226480836237, 0.21777003484320556, 0.18234610917537747, 0.1440185830429733, 0.19337979094076654]"
14,"[0.22764227642276422, 0.15563298490127758, 0.2183507549361208, 0.1951219512195122, 0.14343786295005806, 0.1910569105691057]"
15,"[0.23170731707317074, 0.156794425087108, 0.2264808362369338, 0.19337979094076654, 0.14285714285714285, 0.19337979094076654]"
16,"[0.22764227642276422, 0.15795586527293845, 0.22880371660859466, 0.19221835075493612, 0.13646922183507548, 0.1916376306620209]"
17,"[0.22764227642276422, 0.156794425087108, 0.22822299651567945, 0.19337979094076654, 0.13414634146341464, 0.19047619047619047]"
18,"[0.23577235772357724, 0.15969802555168408, 0.2259001161440186, 0.19337979094076654, 0.13414634146341464, 0.1916376306620209]"
19,"[0.23983739837398374, 0.16376306620209058, 0.2259001161440186, 0.194541231126597, 0.13530778164924506, 0.1910569105691057]"
20,"[0.23983739837398374, 0.17073170731707318, 0.22473867595818817, 0.194541231126597, 0.13472706155632985, 0.19047619047619047]"
21,"[0.24796747967479674, 0.17073170731707318, 0.2229965156794425, 0.19628339140534262, 0.13588850174216027, 0.18815331010452963]"
22,"[0.2601626016260163, 0.17770034843205576, 0.22415795586527293, 0.19628339140534262, 0.13646922183507548, 0.18524970963995355]"
23,"[0.2682926829268293, 0.17886178861788618, 0.2229965156794425, 0.19744483159117304, 0.13704994192799072, 0.18118466898954705]"
24,"[0.2967479674796748, 0.18873403019744484, 0.22473867595818817, 0.1986062717770035, 0.13646922183507548, 0.1806039488966318]"
25,"[0.3089430894308943, 0.20034843205574912, 0.227061556329849, 0.2067363530778165, 0.14343786295005806, 0.16840882694541232]"
26,"[0.32113821138211385, 0.20499419279907086, 0.2259001161440186, 0.21370499419279906, 0.14227642276422764, 0.16608594657375145]"
27,"[0.3252032520325203, 0.21428571428571427, 0.22764227642276422, 0.2229965156794425, 0.14227642276422764, 0.15969802555168408]"
28,"[0.36585365853658536, 0.22764227642276422, 0.23577235772357724, 0.22996515679442509, 0.14750290360046459, 0.1602787456445993]"
29,"[0.4065040650406504, 0.25609756097560976, 0.23170731707317074, 0.22938443670150988, 0.14518002322880372, 0.15040650406504066]"
30,"[0.4268292682926829, 0.26713124274099886, 0.23577235772357724, 0.2264808362369338, 0.15040650406504066, 0.14750290360046459]"
31,"[0.43902439024390244, 0.2787456445993031, 0.2346109175377468, 0.22822299651567945, 0.14982578397212543, 0.14750290360046459]"
32,"[0.45121951219512196, 0.2845528455284553, 0.23403019744483158, 0.2259001161440186, 0.15098722415795587, 0.14343786295005806]"
33,"[0.4634146341463415, 0.2897793263646922, 0.23170731707317074, 0.22357723577235772, 0.15563298490127758, 0.13704994192799072]"
