,Kind,Min_Length,Max_Length,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Shannon Entropy,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes
0,RNN,10,10,9.853124690581442,0.4105468621075601,0.07588303483055724,0.5196933733962854,0.23719017588467356,4.5589995242692805,0.39421421103002174,15,0.3333333333333333,0.3333333333333333
1,RNNA,10,10,5.189342111267699,0.21622258796948746,0.03175587468774499,0.2927319690918757,0.17307148966363664,4.569696580171386,0.22547086252027299,8,0.09090909090909091,0.16666666666666666
2,LSTM,10,10,11.277568409722665,0.4698986837384444,0.06898154468568843,0.605611430755771,0.3489810235339229,4.569584040348878,0.4961816549637895,7,0.09090909090909091,0.2
3,LSTMA,10,10,4.125979423958185,0.17191580933159104,0.043908920637426165,0.2566793879418514,0.1057256377210029,4.538215348746435,0.18205963303759753,9,0.0,0.0
4,GRU,10,10,12.466573825977864,0.519440576082411,0.07479638630469108,0.7072125778545232,0.34336156547603275,4.569857106710992,0.5103748458319903,14,0.3333333333333333,0.375
5,GRUA,10,10,4.155549707004948,0.17314790445853948,0.029042728522751773,0.25610811373622117,0.11438307596228006,4.564953822047407,0.18105135686734236,8,0.0,0.0
6,RNN,10,15,10.014051135450615,0.4172521306437756,0.06559771227519072,0.5293011803011234,0.2724341909977919,4.56685460535728,0.4418174502940035,7,0.09090909090909091,0.2
7,RNNA,10,15,5.950510674664207,0.24793794477767528,0.04322978264982864,0.3572453757017122,0.17456251473669465,4.563026603562652,0.2390543109399207,15,0.3333333333333333,0.3333333333333333
8,LSTM,10,15,10.854930578594054,0.4522887741080856,0.07902306349343798,0.603427387182447,0.30729469146317756,4.5623944550385325,0.41489472830590374,18,1.0,1.0
9,LSTMA,10,15,5.019364833401003,0.20914020139170844,0.027296552406569502,0.26422315054308493,0.17357410498126077,4.5728284320229635,0.2152772248159695,9,0.0,0.0
10,GRU,10,15,12.923920065340898,0.538496669389204,0.06970317503855629,0.6491302626484077,0.36085828966050354,4.572526129763275,0.5241002484003112,15,0.5,0.5714285714285714
11,GRUA,10,15,3.787641496991524,0.15781839570798017,0.029511079880141185,0.2190076433822085,0.0737320634240361,4.558482510070573,0.1615125012894662,10,0.2,0.3333333333333333
12,RNN,20,20,10.615919989869626,0.4423299995779011,0.09665206815376434,0.6330788592329086,0.2647055906278656,4.5503006883430945,0.43613045520420646,13,0.09090909090909091,0.09090909090909091
13,RNNA,20,20,2.4919092845880852,0.10382955352450356,0.049912868438318186,0.20621198979037353,0.030115784472701728,4.418901571415114,0.11158680620440802,10,0.0,0.0
14,LSTM,20,20,10.253727421053494,0.4272386425438956,0.07103433099733393,0.5431921215563486,0.28757089103297406,4.56461830746253,0.4220395150122799,13,0.09090909090909091,0.09090909090909091
15,LSTMA,20,20,1.7637959120063007,0.07349149633359586,0.021478607528371163,0.12580232194552513,0.04088540762294955,4.525708922382327,0.09285578162314906,3,0.0,0.0
16,GRU,20,20,12.728090493736651,0.5303371039056938,0.07663880449965915,0.6760139760821071,0.3677299536338105,4.569776940850311,0.5465640955925339,9,0.09090909090909091,0.14285714285714285
17,GRUA,20,20,2.8198390333269527,0.1174932930552897,0.03182979262580291,0.1919094270611735,0.06649364115334123,4.532835774071495,0.1244940882472135,9,0.0,0.0
18,RNN,20,25,10.806050370093375,0.45025209875389066,0.07517867469370466,0.6016517563336293,0.32548678198251074,4.564798482202933,0.4450382482202009,13,0.5,0.8
