Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,0,1,-0.00593649849150699
RNN-RNN,10,10,0,2,0.7487292534042196
RNN-RNN,10,10,0,3,0.5180612339905863
RNN-RNN,10,10,0,4,0.6543225008592588
RNN-RNN,10,10,0,5,0.6121378439712348
RNN-RNN,10,10,0,6,0.398131261156592
RNN-RNN,10,10,0,7,0.5685687377765994
RNN-RNN,10,10,0,8,0.5158388789987659
RNN-RNN,10,10,0,9,0.7659835060169718
RNN-RNN,10,10,0,10,0.5524158003613249
RNN-RNN,10,10,0,11,0.30099888393226915
RNN-RNN,10,10,0,12,0.6492531187663226
RNN-RNN,10,10,0,13,0.04731907885909835
RNN-RNN,10,10,0,14,0.43641661600523973
RNN-RNN,10,10,0,15,0.6336494607117137
RNN-RNN,10,10,0,16,0.381998989336511
RNN-RNN,10,10,0,17,0.5330309128624358
RNN-RNN,10,10,0,18,0.4982416674691783
RNN-RNN,10,10,0,19,0.7233775283745868
RNN-RNN,10,10,0,20,0.5585137804978032
RNN-RNN,10,10,0,21,0.32962803459493556
RNN-RNN,10,10,0,22,0.5568362513221399
RNN-RNN,10,10,0,23,0.4778758787003474
RNN-RNN,10,10,0,24,0.718544488242757
RNN-RNN,10,10,0,25,0.30072884614883005
RNN-RNN,10,10,0,26,0.6298259205586014
RNN-RNN,10,10,0,27,0.6312544829400161
RNN-RNN,10,10,0,28,0.055892735141242454
RNN-RNN,10,10,0,29,0.5907391510883254
RNN-RNN,10,10,0,30,0.422894889798309
RNN-RNN,10,10,1,0,-0.00593649849150699
RNN-RNN,10,10,1,2,0.23683820600275252
RNN-RNN,10,10,1,3,0.3115851095644875
RNN-RNN,10,10,1,4,0.33854363144698957
RNN-RNN,10,10,1,5,0.07658539930108302
RNN-RNN,10,10,1,6,0.6364514572783723
RNN-RNN,10,10,1,7,0.46281067585759295
RNN-RNN,10,10,1,8,0.4203688283896778
RNN-RNN,10,10,1,9,0.1807605085235003
RNN-RNN,10,10,1,10,0.2811596546039603
RNN-RNN,10,10,1,11,0.37209052555811384
RNN-RNN,10,10,1,12,0.4026896778906229
RNN-RNN,10,10,1,13,0.6485506850962369
RNN-RNN,10,10,1,14,0.5383684420432118
RNN-RNN,10,10,1,15,0.32463853393796205
RNN-RNN,10,10,1,16,0.5673205282776838
RNN-RNN,10,10,1,17,0.3286415228859937
RNN-RNN,10,10,1,18,0.20844096568437545
RNN-RNN,10,10,1,19,0.2650301537995421
