,Model Identifier,Matrix
0,RNN-10-10-0,"[[ 0.87745413  0.75518486  0.35116256  0.          0.65019159  0.02716699
   0.65019159  0.38046727  0.85845279  0.57808492  0.38046727  0.        ]
 [ 0.06028054  0.06642288  0.30505713 -0.00147733  0.16363496  0.
   0.16363496  0.30505713  0.06326406  0.19671624  0.30505713 -0.00147733]]"
1,RNN-10-10-1,"[[ 0.02107216 -0.01311796  0.02107216  0.18332778  0.05836702  0.13803453
   0.          0.05836702  0.05836702  0.02107216 -0.01625032  0.02107216]
 [ 0.64616265  0.86052311  0.64616265  0.32499976  0.          0.3492511
   0.11772136  0.01461531  0.01461531  0.64616265  0.91780251  0.64616265]]"
2,RNN-10-10-2,"[[ 0.99937254  0.3936592   0.68207462  0.01768557  0.          0.91672592
   0.99937254  0.40955275  0.68207462  0.58856939  0.29377743  0.3936592 ]
 [-0.07087673  0.25508855 -0.04906864 -0.07087673  0.00714868 -0.07087673
   0.          0.25508855 -0.04906864  0.25508855  0.25508855  0.25508855]]"
3,RNN-10-10-3,"[[0.85071105 0.02752785 0.93403951 0.00622668 0.93403951 0.93403951
  0.51318007 0.21995266 0.         0.93403951 0.51318007 0.93403951]
 [0.83211236 0.06003949 0.         0.99879473 0.34427215 0.
  0.99879473 0.58574965 0.99879473 0.00945177 0.99879473 0.40850824]]"
4,RNN-10-10-4,"[[0.98124487 0.75310156 0.98124487 0.32542    0.98124487 0.
  0.57317136 0.98124487 0.98124487 0.         0.08213655 0.93269734]
 [0.04820155 0.22837769 0.09825298 0.48673347 0.03669799 0.99266887
  0.31213575 0.99266887 0.03669799 0.99266887 0.7892234  0.        ]]"
5,RNN-10-10-5,"[[0.55749596 0.39973083 0.39973083 0.26855191 0.62711613 0.86360353
  0.65930894 0.92460219 0.61401569 0.         0.         0.70130624]
 [0.07275607 0.01708527 0.01708527 0.04585816 0.07275607 0.01708527
  0.07275607 0.01708527 0.07275607 0.         0.         0.07275607]]"
6,RNN-10-10-6,"[[0.48516334 0.70153671 0.01354275 0.         0.70153671 0.70153671
  0.01354275 0.04157272 0.55201797 0.01354275 0.18127354 0.70153671]
 [0.66766916 0.43939359 0.99531054 0.31851521 0.         0.11407989
  0.99531054 0.99531054 0.22042897 0.99531054 0.99531054 0.52752268]]"
7,RNN-10-10-7,"[[0.44775818 0.83621956 0.11872711 0.         0.96470432 0.96470432
  0.90670328 0.23980207 0.34791694 0.38549704 0.30470432 0.96470432]
 [0.94383841 0.48987355 0.16335324 0.96383841 0.         0.
  0.01314643 0.40052791 0.43529084 0.96383841 0.3659842  0.91186589]]"
8,RNN-10-10-8,"[[9.70481840e-01 9.70481840e-01 3.06737940e-01 9.70481840e-01
  2.47971526e-01 0.00000000e+00 7.15313644e-02 8.88178420e-16
  5.57600271e-01 4.16933440e-01 7.24148849e-01 7.96641060e-01]
 [8.74750062e-01 8.74750062e-01 3.11463468e-01 0.00000000e+00
  5.13536199e-01 8.74750062e-01 8.74750062e-01 8.74750062e-01
  2.20834858e-01 4.36959579e-01 8.65194897e-02 7.52074188e-01]]"
9,RNN-10-10-9,"[[ 0.98489807  0.52416563  0.82615504  0.75140662  0.26997531  0.98489807
   0.          0.93635054  0.98489807  0.88125279  0.65431156  0.75140662]
 [ 0.36034713  0.36034713  0.15230186  0.06130964  0.36034713  0.
  -0.05086751  0.09061435 -0.05086751  0.06130964  0.27337682  0.06130964]]"
