,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes,Sum of min
0,RNN,10,10,0,8.834516673056383,0.36558902419957856,0.3394950717819379,3.8813117468307636,0.989540212972754,-0.014139474947495678,0.39053386194653616,11,0.3333333333333333,0.6,1.815033859537623
1,RNN,10,10,1,8.97726429465736,0.37405267894405664,0.31384321456812886,4.030643574922876,0.9858092663750444,0.0,0.500918877475467,7,0.0,0.0,1.928482787986991
2,RNN,10,10,2,8.473930089910358,0.35274501826769816,0.32657934986560216,3.901578992884366,0.9920148703420208,-0.0020124128714003042,0.51316769271071,6,0.0,0.0,1.672928169011905
3,RNN,10,10,3,9.666130354152116,0.3630001011670285,0.3705987344888629,3.935289462220278,0.9956700581053215,-0.22094913364565505,0.513127764508958,7,0.0,0.0,1.541213280478039
4,RNN,10,10,4,9.819237556081243,0.40659727327132295,0.3368361389322548,3.993614540395767,0.997689219410113,-0.030451498784746178,0.3819662658684087,13,0.3333333333333333,0.42857142857142855,2.1442098392944073
5,RNN,10,10,5,10.561157280660353,0.43864678848745703,0.3465201135203647,4.028950720453551,0.9580178220436304,-0.008408589240346043,0.4131610828219514,13,0.3333333333333333,0.42857142857142855,2.252527359149475
6,RNN,10,10,6,9.06330369782053,0.37147247601787203,0.39047737411785816,3.761092369466863,0.9996737085690346,-0.02827525743048298,0.5409593804923161,7,0.0,0.0,1.0389142543564236
7,RNN,10,10,7,8.87671838867631,0.3470865796769164,0.36039841184639415,3.855934881894037,0.9988286457048838,-0.13305278355851735,0.5342665177138088,6,0.0,0.0,1.4402354840030016
8,RNN,10,10,8,8.335949700210437,0.3361081673389175,0.3551050432491766,3.7579006759748648,0.9811853663047243,-0.0765596227377685,0.4825400087052042,7,0.0,0.0,1.057937808230096
9,RNN,10,10,9,9.47119694494091,0.3798139954049005,0.34368729166960027,3.95048427858748,0.9809028491601364,-0.09919318523756004,0.5151563493695315,7,0.0,0.0,2.054963965233437
10,RNN,10,10,10,8.90587446468203,0.36754023275652953,0.33111946969095285,3.943957762959855,0.9881952241638525,-0.04245443926266068,0.4993259088662386,7,0.0,0.0,2.0028783846588163
11,RNN,10,10,11,9.727540222995144,0.40331653620460944,0.3240687000659397,4.036690813038153,0.9820289388795587,-0.023971677042257777,0.3572818850469835,14,0.5,0.6666666666666666,2.443848909945043
12,RNN,10,10,12,8.965492626430638,0.36679830777757655,0.3870646555952349,3.7530898741628844,0.9974005456549038,-0.027055539961467368,0.5331149590573089,7,0.0,0.0,1.2488025952836939
13,RNN,10,10,13,9.448256603026934,0.37478922255552805,0.340193112347943,3.96877700262304,0.9973775003360505,-0.11332881542356521,0.5054868447548445,7,0.0,0.0,2.012320497554156
14,RNN,10,10,14,9.468572294829615,0.3924116202783193,0.36442169833216875,3.902481446073109,0.9881152782767151,-0.02534670407497641,0.5811873851752212,6,0.0,0.0,2.0471204698930205
15,RNN,10,10,15,9.39934879345715,0.37682437790704787,0.37465813568180484,3.8615868886795957,0.9692148400545904,-0.10166174188442767,0.5332238851678813,7,0.0,0.0,1.7281391316135566
16,RNN,10,10,16,10.34989113416588,0.41112488940215236,0.3754060851691969,3.985209512586096,0.9988151628047084,-0.1344755780841984,0.5660422594347605,7,0.0,0.0,2.06957193425234
17,RNN,10,10,17,10.223150611033763,0.42395261995855077,0.36100153253342426,3.9925130884693174,0.9945536158255828,-0.024143866014271875,0.6061881676250319,6,0.0,0.0,2.0900264122650447
18,RNN,10,10,18,9.503026231187105,0.3937841465197804,0.33324400313306346,3.988423026274646,0.9953538526886456,-0.026103357356188184,0.3460231726623463,14,0.5,0.6666666666666666,2.229866609521086
19,RNN,10,10,19,9.71953077657438,0.40498044902393254,0.3411258114470493,3.9612383463099823,0.9889337274052368,0.0,0.4301758760557761,11,0.09090909090909091,0.1111111111111111,1.975259543066569
20,RNN,10,10,20,8.01669593374753,0.3084637517218931,0.34010901503807867,3.800520990725329,0.9790636911401691,-0.15031970894903113,0.4807167170413756,6,0.0,0.0,1.0922306982980619
21,RNN,10,10,21,9.197146358896003,0.38321443162066676,0.33230103018835255,3.936981283494721,0.9986252349116191,0.0,0.3832144316206667,12,0.3333333333333333,0.5,1.9124373421922192
22,RNN,10,10,22,8.404660792179788,0.34672523827266694,0.36157643960337266,3.714855245292727,0.9987947288820127,-0.030033982112728896,0.4940231629370238,7,0.0,0.0,1.461534478510941
23,RNN,10,10,23,8.570716783302286,0.35621735917407954,0.38271498516376706,3.6942141147841516,0.9997103988399743,-0.005375040781094853,0.5194725211713853,7,0.0,0.0,0.7548171044853853
24,RNN,10,10,24,9.67276874442306,0.40077532963674495,0.3672974069968461,3.9018872879921913,0.9997103988399743,-0.013540208285296007,0.5876600042735729,6,0.0,0.0,1.779266457410972
25,RNN,10,10,25,8.903835958935087,0.34437120804487514,0.3628519900273984,3.8456334450582657,0.9845314391771591,-0.1664143389359749,0.49287499161345155,7,0.0,0.0,1.2754374188187985
26,RNN,10,10,26,9.846043189424247,0.3838495799194745,0.37644534894804477,3.9210206546169255,0.9952101089030254,-0.14841558545635758,0.5366457369187257,7,0.0,0.0,1.6591833922869692
27,RNN,10,10,27,9.201743590436115,0.3828932097220619,0.3821200161450335,3.783147294322627,0.9964388623807214,-0.002051092851105274,0.5420229581149055,7,0.0,0.0,1.3535671701846548
28,RNN,10,10,28,8.51298843440728,0.3265515378136829,0.348043863340824,3.835776091178094,0.970159601826194,-0.15099486450535293,0.4668648226544008,7,0.0,0.0,1.4433816454427935
29,RNN,10,10,29,10.856025636050974,0.45155347575535104,0.33640552347514807,4.084810040889749,0.9988436834149108,-0.004986202975955756,0.451553475755351,12,0.5,1.0,3.181205726621972
30,RNN,10,10,30,8.047608553303453,0.33288423282622154,0.327750110391832,3.8377350972799134,0.988906938614234,-0.012959918164513251,0.49888474441121466,6,0.0,0.0,1.3607940442380846
