Kind,epoch,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Kmeans_song_1_treshold,Kmeans_song_2_treshold,Kmeans_song_3_treshold,Kmeans_song_4_treshold,Song_1_Nodes_exceeding_treshold,Song_2_Nodes_exceeding_treshold,Song_3_Nodes_exceeding_treshold,Song_4_Nodes_exceeding_treshold,Total_Nodes_exceeding_treshold,degree_2_overlapp,degree_3_overlapp,degree_4_overlapp,sum_of_degree_overlapp,Total_Overlapp_percentage,overlapp_column1,overlapp_column2,overlapp_column3,overlapp_column4,overlapp_column5,overlapp_column6,overlapp_column7,overlapp_column8,overlapp_column9,overlapp_column10,overlapp_column11,overlapp_column12,overlapp_column13,overlapp_column14,overlapp_column15,overlapp_column16,overlapp_column17,overlapp_column18,overlapp_column19,overlapp_column20,song_1_song_2_11_overlap,song_1_song_3_11_overlap,song_1_song_4_11_overlap,song_2_song_3_11_overlap,song_2_song_4_11_overlap,song_3_song_4_11_overlap,total_pairwise_overlap_count,Binarized_Vector_Song_1,Binarized_Vector_Song_2,Binarized_Vector_Song_3,Binarized_Vector_Song_4
RNN,1000,0,36.3929,0.4549,0.2905,0.8113,0.0,0.3863,0.4065,0.4075,0.4055,13,13,11,11,48,8,7,2,17,56.25,0.5,0.75,0.5,0.0,0.75,0.75,0.75,0.5,0.0,1.0,0.75,0.5,1.0,0.0,0.75,0.75,0.5,0.5,0.5,0.5,9,6,7,7,5,7,41,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
RNN,1000,1,38.6083,0.4826,0.2992,0.8111,0.0,0.4344,0.4124,0.3908,0.4125,12,14,12,12,50,5,8,3,16,57.49999999999999,0.75,0.0,0.75,0.5,1.0,0.5,0.5,0.0,0.75,1.0,0.5,1.0,0.75,0.0,0.75,0.75,0.0,0.75,0.5,0.75,9,6,9,7,8,8,47,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
RNN,1000,2,39.3151,0.4914,0.301,0.8113,0.0,0.4069,0.4319,0.3781,0.4312,14,13,12,12,51,5,10,2,17,60.0,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.0,0.0,0.75,0.75,1.0,0.5,0.75,0.75,0.75,0.75,1.0,0.0,0.75,9,9,10,8,5,6,47,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1]"
RNN,1000,3,38.0316,0.4754,0.2945,0.8113,0.0,0.3871,0.4237,0.4127,0.4277,13,13,12,11,49,5,6,4,15,55.00000000000001,1.0,0.0,0.0,0.75,0.5,0.5,0.75,0.5,0.0,0.0,0.5,0.5,0.75,0.75,1.0,0.75,1.0,1.0,0.0,0.75,9,7,7,8,8,8,47,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
RNN,1000,4,39.0421,0.488,0.3016,0.8112,0.0,0.4166,0.3805,0.3843,0.422,13,15,12,12,52,6,7,4,17,61.25000000000001,1.0,0.75,0.75,0.75,0.0,0.75,0.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.75,1.0,0.75,0.75,0.5,8,10,9,8,7,9,51,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]"
RNN,1000,5,38.3146,0.4789,0.2984,0.8113,0.0,0.4446,0.4254,0.3916,0.4033,12,13,12,12,49,3,9,3,15,56.25,0.0,0.75,0.0,0.75,0.75,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.5,0.5,0.0,0.75,0.5,0.75,0.0,0.75,9,8,8,8,8,7,48,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]"
RNN,1000,6,39.0348,0.4879,0.3005,0.8113,0.0,0.4241,0.4419,0.3825,0.3904,13,13,12,13,51,6,8,3,17,60.0,0.0,0.5,0.75,0.75,1.0,0.5,0.75,0.75,0.5,0.75,1.0,0.0,0.75,0.5,0.0,1.0,0.75,0.75,0.5,0.5,8,9,8,7,7,9,48,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]"
RNN,1000,7,38.427,0.4803,0.2982,0.8113,0.0,0.4146,0.4233,0.3912,0.4115,13,13,12,12,50,3,10,3,16,60.0,1.0,0.75,1.0,0.0,0.75,0.0,0.0,0.5,0.5,0.75,0.75,0.75,1.0,0.0,0.75,0.75,0.5,0.75,0.75,0.75,9,7,8,10,9,8,51,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]"
RNN,1000,8,39.4363,0.493,0.3017,0.8112,0.0,0.4361,0.4412,0.3914,0.4161,12,13,13,12,50,4,12,1,17,60.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.0,0.75,0.0,0.0,1.0,0.75,0.75,0.5,8,7,8,8,8,7,46,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
RNN,1000,9,37.6846,0.4711,0.2971,0.8113,0.0,0.4271,0.4326,0.3658,0.4078,13,12,12,12,49,5,9,2,16,56.25,0.75,0.0,0.0,1.0,0.75,0.5,0.5,0.0,0.75,0.0,0.75,0.75,0.75,1.0,0.5,0.5,0.75,0.5,0.75,0.75,8,7,8,7,7,7,44,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
