Kind,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Kmeans_song_1_treshold,Kmeans_song_2_treshold,Kmeans_song_3_treshold,Kmeans_song_4_treshold,Song_1_Nodes_exceeding_treshold,Song_2_Nodes_exceeding_treshold,Song_3_Nodes_exceeding_treshold,Song_4_Nodes_exceeding_treshold,Total_Nodes_exceeding_treshold,degree_2_overlapp,degree_3_overlapp,degree_4_overlapp,sum_of_degree_overlapp,Total_Overlapp_percentage_by20,overlapp_column1,overlapp_column2,overlapp_column3,overlapp_column4,overlapp_column5,overlapp_column6,overlapp_column7,overlapp_column8,overlapp_column9,overlapp_column10,overlapp_column11,overlapp_column12,overlapp_column13,overlapp_column14,overlapp_column15,overlapp_column16,overlapp_column17,overlapp_column18,overlapp_column19,overlapp_column20
RNN,0,38.2479,0.4781,0.296,0.8113,0.0,0.4262,0.4276,0.3893,0.4181,13,12,12,12,49,4,5,5,14,0.005375,0.0,0.75,1.0,0.75,0.0,1.0,1.0,1.0,0.75,0.0,0.0,0.75,0.5,0.5,0.75,0.5,0.0,0.5,0.0,1.0
RNN,1,39.078,0.4885,0.3061,0.8113,0.0,0.4252,0.401,0.3994,0.4068,13,14,12,12,51,8,7,3,18,0.006125,1.0,0.5,0.0,0.75,0.5,0.75,0.5,0.75,0.75,1.0,0.5,0.5,1.0,0.75,0.75,0.5,0.5,0.5,0.0,0.75
RNN,2,39.4933,0.4937,0.2961,0.8112,-0.0006,0.3931,0.4315,0.4274,0.4114,13,14,12,12,51,8,7,3,18,0.006125,0.5,0.5,0.5,0.75,0.75,1.0,0.5,0.0,0.75,0.75,1.0,0.5,0.75,0.5,0.5,0.75,0.75,0.0,0.5,1.0
RNN,3,38.0773,0.476,0.302,0.8112,0.0,0.4171,0.4138,0.3872,0.3986,13,13,12,12,50,6,5,5,16,0.005875,0.0,0.75,0.75,0.75,0.5,0.5,1.0,0.75,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5
RNN,4,39.3687,0.4921,0.2991,0.8113,0.0,0.4152,0.4148,0.3851,0.4064,14,14,12,12,52,8,4,6,18,0.0065,0.75,0.75,1.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.75,0.5,0.0,1.0,0.75,1.0,1.0,0.5,0.5,0.5
RNN,5,37.5202,0.4689,0.2857,0.8112,-0.0021,0.3902,0.3849,0.3898,0.4121,13,14,12,12,51,6,7,4,17,0.006125,0.0,0.5,0.75,1.0,1.0,0.5,0.75,0.75,0.5,0.75,0.0,0.0,0.75,1.0,1.0,0.5,0.5,0.75,0.5,0.75
RNN,6,38.3298,0.479,0.3012,0.8113,-0.0042,0.3747,0.444,0.4191,0.3914,13,13,11,13,50,2,10,3,15,0.00575,0.75,0.0,0.0,0.75,0.75,1.0,0.75,1.0,0.5,0.5,0.75,1.0,0.75,0.75,0.0,0.0,0.75,0.75,0.75,0.0
RNN,7,38.5165,0.4815,0.2962,0.8113,0.0,0.4223,0.3616,0.3831,0.3902,13,14,13,13,53,6,9,3,18,0.006375,0.5,0.5,0.5,0.75,0.75,0.75,0.5,1.0,0.5,1.0,0.75,0.5,1.0,0.75,0.75,0.75,0.0,0.75,0.75,0.0
RNN,8,38.6412,0.483,0.2956,0.8113,0.0,0.4074,0.4317,0.4018,0.4094,14,12,12,12,50,5,5,5,15,0.005625,0.5,0.0,0.5,0.75,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.75,0.0,0.5,0.5,0.75,0.75,0.75,0.5
RNN,9,38.9022,0.4863,0.3008,0.8113,0.0,0.4167,0.4335,0.3829,0.3955,13,13,12,13,51,7,8,3,18,0.00625,1.0,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.75,0.75,0.5,1.0,0.75,0.5
RNN,10,40.1754,0.5022,0.3063,0.8113,0.0,0.4212,0.441,0.4062,0.4168,14,13,12,12,51,7,5,5,17,0.006125,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.75,0.75,1.0,0.5,0.5,0.75,1.0,0.75,0.0,1.0,0.75,0.0,0.0
RNN,11,38.7869,0.4848,0.3006,0.8113,0.0,0.4259,0.4216,0.4097,0.3983,13,13,12,12,50,3,8,4,15,0.00575,0.75,0.75,0.75,0.5,1.0,1.0,0.0,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.0,0.0,1.0,0.0,0.5,0.0
RNN,12,35.3789,0.4422,0.2886,0.8113,0.0,0.4208,0.3747,0.4054,0.3843,12,13,11,11,47,5,7,3,15,0.005375,0.75,1.0,0.75,0.5,0.5,0.0,0.75,1.0,0.0,0.75,1.0,0.75,0.0,0.0,0.75,0.5,0.5,0.75,0.5,0.0
RNN,13,37.8718,0.4734,0.2963,0.8113,0.0,0.4388,0.4248,0.4169,0.4229,13,12,11,11,47,4,6,4,14,0.00525,0.0,0.5,0.5,0.75,0.5,1.0,0.0,1.0,0.0,1.0,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.75,1.0,0.5
RNN,14,36.5002,0.4563,0.2977,0.8113,0.0,0.4015,0.3911,0.3755,0.4048,13,13,12,11,49,7,5,4,16,0.005625,1.0,1.0,1.0,0.75,0.0,0.75,0.75,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.75,0.75,0.5
RNN,15,39.5223,0.494,0.3067,0.8113,0.0,0.3991,0.4307,0.3955,0.4249,14,13,12,12,51,6,8,3,17,0.006,0.5,0.75,0.5,0.0,1.0,0.5,0.0,0.75,0.75,0.75,0.5,0.75,1.0,0.75,0.0,0.75,1.0,0.75,0.5,0.5
RNN,16,37.3264,0.4666,0.3022,0.8113,0.0,0.3931,0.3924,0.4083,0.4174,13,13,11,12,49,6,6,4,16,0.00575,0.0,0.75,0.75,0.75,0.5,1.0,0.5,0.5,0.75,0.75,1.0,1.0,0.5,1.0,0.5,0.5,0.75,0.0,0.0,0.0
RNN,17,38.4528,0.4807,0.3022,0.8113,0.0,0.4253,0.4126,0.3874,0.4109,13,13,12,12,50,5,9,3,17,0.006125,0.75,0.75,1.0,0.5,0.0,0.75,0.5,0.5,0.0,0.75,1.0,1.0,0.75,0.0,0.5,0.75,0.75,0.75,0.75,0.5
RNN,18,38.1787,0.4772,0.3031,0.8113,0.0,0.4127,0.4235,0.4015,0.4105,13,13,11,12,49,7,5,4,16,0.005625,1.0,0.75,0.75,0.0,0.5,1.0,0.75,0.0,1.0,0.0,0.5,0.5,0.75,0.5,0.0,0.5,1.0,0.5,0.75,0.5
